lat,lng,pop
35.6839,139.7744,39105000.0
-6.2146,106.8451,35362000.0
28.6667,77.2167,31870000.0
14.6,120.9833,23971000.0
-23.5504,-46.6339,22495000.0
37.56,126.99,22394000.0
19.0758,72.8775,22186000.0
31.1667,121.4667,22118000.0
19.4333,-99.1333,21505000.0
23.1288,113.259,21489000.0
30.0444,31.2358,19787000.0
39.904,116.4075,19437000.0
40.6943,-73.9249,18713220.0
22.5727,88.3639,18698000.0
55.7558,37.6178,17693000.0
13.75,100.5167,17573000.0
23.7289,90.3944,16839000.0
-34.5997,-58.3819,16216000.0
34.752,135.4582,15490000.0
6.45,3.4,15487000.0
41.01,28.9603,15311000.0
24.86,67.01,15292000.0
-4.3317,15.3139,15056000.0
22.535,114.054,14678000.0
12.9791,77.5913,13999000.0
10.8167,106.6333,13954000.0
35.7,51.4167,13819000.0
34.1139,-118.4068,12750807.0
-22.9083,-43.1964,12486000.0
30.66,104.0633,11920000.0
38.8671,115.4845,11860000.0
13.0825,80.275,11564000.0
31.5497,74.3436,11148000.0
51.5072,-0.1275,11120000.0
48.8566,2.3522,11027000.0
39.1467,117.2056,10932000.0
35.0606,118.3425,10820000.0
38.0422,114.5086,10784600.0
34.7492,113.6605,10136000.0
32.9987,112.5292,10013600.0
17.3617,78.4747,9840000.0
30.5872,114.2881,9729000.0
36.6116,114.4894,9549700.0
35.1167,136.9333,9522000.0
36.7167,119.1,9373000.0
-12.06,-77.0375,8992000.0
33.625,114.6418,8953172.0
-8.8383,13.2344,8883000.0
25.8292,114.9336,8677600.0
34.261,117.1859,8669000.0
3.1478,101.6953,8639000.0
41.8373,-87.6862,8604203.0
35.2333,115.4333,8287693.0
29.55,106.5069,8261000.0
21.0245,105.8412,8246600.0
32.8986,115.8045,8200264.0
28.1987,112.9709,8154700.0
23.0475,113.7493,8142000.0
35.4,116.5667,8081905.0
36.6667,116.9833,7967400.0
18.5196,73.8553,7948000.0
23.0292,113.1056,7905700.0
4.6126,-74.0705,7743955.0
23.03,72.58,7717000.0
32.05,118.7667,7729000.0
43.9,125.2,7674439.0
